adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
1,1,14.00,14,6422.21,6422.21,0,1247,738
1,1,12.00,12,8758.41,8758.41,0,1247,643
1,1,4.00,4,1784.27,1808.40,0,1247,634
1,1,18.00,18,7643.66,8072.24,0,1247,565
1,1,19.00,19,8243.61,8672.19,0,1247,449
1,1,9.00,9,6714.52,6714.52,0,1247,360
1,1,10.00,10,6799.72,6799.72,0,1247,359
1,1,11.00,11,7677.23,7677.23,0,1247,356
1,1,8.00,8,6640.60,6640.60,0,1247,350
1,1,15.00,15,9015.35,9015.35,0,1247,3
1,1,16.00,16,9870.14,9870.14,0,1246,998
1,1,4.00,4,3308.44,3308.44,0,1246,936
1,1,3.00,3,3097.75,3097.75,0,1246,930
1,1,14.00,14,7023.12,7023.12,0,1246,768
1,1,12.00,12,6928.58,6928.58,0,1246,748
1,1,13.00,13,6963.04,6963.04,0,1246,740
1,1,15.00,15,7063.93,7063.93,0,1246,738
1,1,13.00,13,9400.13,9400.13,0,1246,643
1,1,5.00,5,2425.99,2450.12,0,1246,634
1,1,19.00,19,8285.38,8713.96,0,1246,565
1,1,20.00,20,8885.33,9313.91,0,1246,449
1,1,10.00,10,7356.24,7356.24,0,1246,360
1,1,11.00,11,7441.44,7441.44,0,1246,359
1,1,12.00,12,8318.95,8318.95,0,1246,356
1,1,9.00,9,7282.32,7282.32,0,1246,350
1,1,16.00,16,9657.07,9657.07,0,1246,3
